Ward ID,Ward Name
E05013657,Frognal
E05013658,Gospel Oak
E05013659,Hampstead Town
E05013660,Haverstock
E05013661,Highgate
E05013662,Holborn & Covent Garden
E05013663,Kentish Town North
E05013664,Kentish Town South
E05013665,Kilburn
E05013666,King's Cross
E05013667,Primrose Hill
E05013668,Regent's Park
E05013669,St Pancras & Somers Town
E05013670,South Hampstead
E05013671,West Hampstead
E05013672,Arnos Grove
E05013673,Bowes
E05013674,Brimsdown
E05013675,Bullsmoor
E05013676,Bush Hill Park
E05013677,Carterhatch
E05013678,Cockfosters
E05013679,Edmonton Green
E05013680,Enfield Lock
E05013681,Grange Park
E05013682,Haselbury
E05013683,Highfield
E05013684,Jubilee
E05013685,Lower Edmonton
E05013686,New Southgate
E05013687,Oakwood
E05013688,Palmers Green
E05013689,Ponders End
E05013690,Ridgeway
E05013691,Southbury
E05013692,Southgate
E05013693,Town
E05013694,Upper Edmonton
E05013695,Whitewebbs
E05013696,Winchmore Hill
E05013697,Arsenal
E05013698,Barnsbury
E05013699,Bunhill
E05013700,Caledonian
E05013701,Canonbury
E05013702,Clerkenwell
E05013703,Finsbury Park
E05013704,Highbury
E05013705,Hillrise
E05013706,Holloway
E05013707,Junction
E05013708,Laycock
E05013709,Mildmay
E05013710,St Mary's & St James'
E05013711,St Peter's & Canalside
E05013712,Tollington
E05013713,Tufnell Park
E05013714,Bellingham
E05013715,Blackheath
E05013716,Brockley
E05013717,Catford South
E05013718,Crofton Park
E05013719,Deptford
E05013720,Downham
E05013721,Evelyn
E05013722,Forest Hill
E05013723,Grove Park
E05013724,Hither Green
E05013725,Ladywell
E05013726,Lee Green
E05013727,Lewisham Central
E05013728,New Cross Gate
E05013729,Perry Vale
E05013730,Rushey Green
E05013731,Sydenham
E05013732,Telegraph Hill
E05013733,Addison
E05013734,Avonmore
E05013735,Brook Green
E05013736,College Park & Old Oak
E05013737,Coningham
E05013738,Fulham Reach
E05013739,Fulham Town
E05013740,Grove
E05013741,Hammersmith Broadway
E05013742,Lillie
E05013743,Munster
E05013744,Palace & Hurlingham
E05013745,Parsons Green & Sandford
E05013746,Ravenscourt
E05013747,Sands End
E05013748,Shepherd's Bush Green
E05013749,Walham Green
E05013750,Wendell Park
E05013751,West Kensington
E05013752,White City
E05013753,Wormholt
E05013754,Beddington
E05013755,Belmont
E05013756,Carshalton Central
E05013757,Carshalton South & Clockhouse
E05013758,Cheam
E05013759,Hackbridge
E05013760,North Cheam
E05013761,St Helier East
E05013762,St Helier West
E05013763,South Beddington & Roundshaw
E05013764,Stonecot
E05013765,Sutton Central
E05013766,Sutton North
E05013767,Sutton South
E05013768,Sutton West & East Cheam
E05013769,The Wrythe
E05013770,Wallington North
E05013771,Wallington South
E05013772,Worcester Park North
E05013773,Worcester Park South
E05013774,Barnes
E05013775,East Sheen
E05013776,Fulwell & Hampton Hill
E05013777,"Ham, Petersham & Richmond Riverside"
E05013778,Hampton
E05013779,Hampton North
E05013780,Hampton Wick & South Teddington
E05013781,Heathfield
E05013782,Kew
E05013783,Mortlake & Barnes Common
E05013784,North Richmond
E05013785,St Margarets & North Twickenham
E05013786,South Richmond
E05013787,South Twickenham
E05013788,Teddington
E05013789,Twickenham Riverside
E05013790,West Twickenham
E05013791,Whitton
E05013792,Abbey Road
E05013793,Bayswater
E05013794,Church Street
E05013795,Harrow Road
E05013796,Hyde Park
E05013797,Knightsbridge & Belgravia
E05013798,Lancaster Gate
E05013799,Little Venice
E05013800,Maida Vale
E05013801,Marylebone
E05013802,Pimlico North
E05013803,Pimlico South
E05013804,Queen's Park
E05013805,Regent's Park
E05013806,St James's
E05013807,Vincent Square
E05013808,West End
E05013809,Westbourne
E05013810,Abbey
E05013811,Cannon Hill
E05013812,Colliers Wood
E05013813,Cricket Green
E05013814,Figge's Marsh
E05013815,Graveney
E05013816,Hillside
E05013817,Lavender Fields
E05013818,Longthornton
E05013819,Lower Morden
E05013820,Merton Park
E05013821,Pollards Hill
E05013822,Ravensbury
E05013823,Raynes Park
E05013824,St Helier
E05013825,Village
E05013826,Wandle
E05013827,West Barnes
E05013828,Wimbledon Park
E05013829,Wimbledon Town & Dundonald
E05013882,Cann Hall
E05013883,Cathall
E05013884,Chapel End
E05013885,Chingford Green
E05013886,Endlebury
E05013887,Forest
E05013888,Grove Green
E05013889,Hale End & Highams Park South
E05013890,Hatch Lane & Highams Park North
E05013891,High Street
E05013892,Higham Hill
E05013893,Hoe Street
E05013894,Larkswood
E05013895,Lea Bridge
E05013896,Leyton
E05013897,Leytonstone
E05013898,Markhouse
E05013899,St James
E05013900,Upper Walthamstow
E05013901,Valley
E05013902,William Morris
E05013903,Wood Street
E05013904,Beckton
E05013905,Boleyn
E05013906,Canning Town North
E05013907,Canning Town South
E05013908,Custom House
E05013909,East Ham
E05013910,East Ham South
E05013911,Forest Gate North
E05013912,Forest Gate South
E05013913,Green Street East
E05013914,Green Street West
E05013915,Little Ilford
E05013916,Manor Park
E05013917,Maryland
E05013918,Plaistow North
E05013919,Plaistow South
E05013920,Plaistow West & Canning Town East
E05013921,Plashet
E05013922,Royal Albert
E05013923,Royal Victoria
E05013924,Stratford
E05013925,Stratford Olympic Park
E05013926,Wall End
E05013927,West Ham
E05013928,Alexandra
E05013929,Berrylands
E05013930,Canbury Gardens
E05013931,Chessington South & Malden Rushett
E05013932,Coombe Hill
E05013933,Coombe Vale
E05013934,Green Lane & St James
E05013935,Hook & Chessington North
E05013936,King George's & Sunray
E05013937,Kingston Gate
E05013938,Kingston Town
E05013939,Motspur Park & Old Malden East
E05013940,New Malden Village
E05013941,Norbiton
E05013942,Old Malden
E05013943,St Mark's & Seething Wells
E05013944,Surbiton Hill
E05013945,Tolworth
E05013946,Tudor
E05013967,Beam Park
E05013968,Cranham
E05013969,Elm Park
E05013970,Emerson Park
E05013971,Gooshays
E05013972,Hacton
E05013973,Harold Wood
E05013974,Havering-atte-Bower
E05013975,Heaton
E05013976,Hylands & Harrow Lodge
E05013977,Marshalls & Rise Park
E05013978,Mawneys
E05013979,Rainham & Wennington
E05013980,Rush Green & Crowlands
E05013981,St Alban's
E05013982,St Andrew's
E05013983,St Edward's
E05013984,South Hornchurch
E05013985,Squirrels Heath
E05013986,Upminster
E05013987,Beckenham Town & Copers Cope
E05013988,Bickley & Sundridge
E05013989,Biggin Hill
E05013990,Bromley Common & Holwood
E05013991,Bromley Town
E05013992,Chelsfield
E05013993,Chislehurst
E05013994,Clock House
E05013995,Crystal Palace & Anerley
E05013996,Darwin
E05013997,Farnborough & Crofton
E05013998,Hayes & Coney Hall
E05013999,Kelsey & Eden Park
E05014000,Mottingham
E05014001,Orpington
E05014002,Penge & Cator
E05014003,Petts Wood & Knoll
E05014004,Plaistow
E05014005,Shortlands & Park Langley
E05014006,St Mary Cray
E05014007,St Paul's Cray
E05014008,West Wickham
E05014009,Balham
E05014010,Battersea Park
E05014011,East Putney
E05014012,Falconbrook
E05014013,Furzedown
E05014014,Lavender
E05014015,Nine Elms
E05014016,Northcote
E05014017,Roehampton
E05014018,St Mary's
E05014019,Shaftesbury & Queenstown
E05014020,South Balham
E05014021,Southfields
E05014022,Thamesfield
E05014023,Tooting Bec
E05014024,Tooting Broadway
E05014025,Trinity
E05014026,Wandle
E05014027,Wandsworth Common
E05014028,Wandsworth Town
E05014029,West Hill
E05014030,West Putney
E05014053,Abbey
E05014054,Alibon
E05014055,Barking Riverside
E05014056,Beam
E05014057,Becontree
E05014058,Chadwell Heath
E05014059,Eastbrook & Rush Green
E05014060,Eastbury
E05014061,Gascoigne
E05014062,Goresbrook
E05014063,Heath
E05014064,Longbridge
E05014065,Mayesbrook
E05014066,Northbury
E05014067,Parsloes
E05014068,Thames View
E05014069,Valence
E05014070,Village
E05014071,Whalebone
E05014072,Abbey Wood
E05014073,Blackheath Westcombe
E05014074,Charlton Hornfair
E05014075,Charlton Village & Riverside
E05014076,East Greenwich
E05014077,Eltham Page
E05014078,Eltham Park & Progress
E05014079,Eltham Town & Avery Hill
E05014080,Greenwich Creekside
E05014081,Greenwich Park
E05014082,Greenwich Peninsula
E05014083,Kidbrooke Park
E05014084,Kidbrooke Village & Sutcliffe
E05014085,Middle Park & Horn Park
E05014086,"Mottingham, Coldharbour & New Eltham"
E05014087,Plumstead & Glyndon
E05014088,Plumstead Common
E05014089,Shooters Hill
E05014090,Thamesmead Moorings
E05014091,West Thamesmead
E05014092,Woolwich Arsenal
E05014093,Woolwich Common
E05014094,Woolwich Dockyard
E05014095,Brixton Acre Lane
E05014096,Brixton North
E05014097,Brixton Rush Common
E05014098,Brixton Windrush
E05014099,Clapham Common & Abbeville
E05014100,Clapham East
E05014101,Clapham Park
E05014102,Clapham Town
E05014103,Gipsy Hill
E05014104,Herne Hill & Loughborough Junction
E05014105,Kennington
E05014106,Knight's Hill
E05014107,Myatt's Fields
E05014108,Oval
E05014109,St Martin's
E05014110,Stockwell East
E05014111,Stockwell West & Larkhall
E05014112,Streatham Common & Vale
E05014113,Streatham Hill East
E05014114,Streatham Hill West & Thornton
E05014115,Streatham St Leonard's
E05014116,Streatham Wells
E05014117,Vauxhall
E05014118,Waterloo & South Bank
E05014119,West Dulwich
