,Ward ID,Month,Monthly_Burglaries,Ward Name,Ward_Area,Monthly_Crime_Density,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase
30,E05000039,2022-05-01,2,Thames,7.877962197199837,0.2538727592156871,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
31,E05000039,2022-06-01,5,Thames,7.877962197199837,0.6346818980392179,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
32,E05000039,2022-07-01,3,Thames,7.877962197199837,0.3808091388235307,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
33,E05000039,2022-08-01,5,Thames,7.877962197199837,0.6346818980392179,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
34,E05000039,2022-09-01,3,Thames,7.877962197199837,0.3808091388235307,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
35,E05000039,2022-10-01,6,Thames,7.877962197199837,0.7616182776470615,18.12,11.0,14.39,18.12,10.88,14.36,10.92,80.8,2.2,74.19,15.59,0.0,0.0,35.14,20.96,205.8,1014.38,51.73,15.44,47.39,4.07,2.97,0.48
36,E05000039,2022-11-01,4,Thames,7.877962197199837,0.5077455184313743,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
37,E05000039,2022-12-01,3,Thames,7.877962197199837,0.3808091388235307,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
38,E05000039,2023-01-01,4,Thames,7.877962197199837,0.5077455184313743,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
39,E05000039,2023-02-01,2,Thames,7.877962197199837,0.2538727592156871,10.21,3.88,6.85,9.28,2.03,5.29,3.41,79.56,0.17,39.29,4.17,0.0,0.01,29.99,18.92,190.52,1028.43,60.99,21.12,40.12,3.47,2.29,0.49
40,E05000039,2023-05-01,2,Thames,7.877962197199837,0.2538727592156871,17.93,10.13,13.92,17.93,9.62,13.84,7.82,68.35,0.76,32.26,7.12,0.0,0.0,30.94,19.68,127.97,1022.57,53.8,25.42,136.51,11.78,6.32,0.46
41,E05000042,2022-03-01,1,Whalebone,1.552015985801119,0.6443232602941396,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
42,E05000042,2022-05-01,1,Whalebone,1.552015985801119,0.6443232602941396,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
43,E05000042,2022-06-01,1,Whalebone,1.552015985801119,0.6443232602941396,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
44,E05000042,2022-07-01,1,Whalebone,1.552015985801119,0.6443232602941396,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
45,E05000042,2022-08-01,1,Whalebone,1.552015985801119,0.6443232602941396,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
46,E05000042,2022-09-01,1,Whalebone,1.552015985801119,0.6443232602941396,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
47,E05000044,2022-03-01,3,Burnt Oak,2.0647984060801328,1.452926344366605,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
48,E05000044,2022-05-01,4,Burnt Oak,2.0647984060801328,1.93723512582214,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
49,E05000044,2022-06-01,2,Burnt Oak,2.0647984060801328,0.96861756291107,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
50,E05000044,2022-08-01,2,Burnt Oak,2.0647984060801328,0.96861756291107,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
51,E05000044,2022-11-01,5,Burnt Oak,2.0647984060801328,2.421543907277675,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
52,E05000044,2022-12-01,1,Burnt Oak,2.0647984060801328,0.4843087814555349,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
53,E05000044,2023-01-01,1,Burnt Oak,2.0647984060801328,0.4843087814555349,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
54,E05000044,2023-03-01,1,Burnt Oak,2.0647984060801328,0.4843087814555349,11.09,5.96,8.39,10.27,3.85,6.95,4.56,77.71,2.87,80.65,29.44,0.05,0.05,38.26,24.47,184.55,1008.06,84.1,19.0,57.43,4.95,2.74,0.46
55,E05000044,2023-04-01,1,Burnt Oak,2.0647984060801328,0.4843087814555349,14.21,6.65,10.14,14.21,4.91,9.21,4.73,70.88,2.05,56.67,15.97,0.0,0.0,32.87,20.79,175.1,1016.26,59.6,24.18,111.4,9.61,5.2,0.48
56,E05000046,2022-03-01,15,Colindale,2.633351458032952,5.696163326107875,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
57,E05000046,2022-04-01,11,Colindale,2.633351458032952,4.177186439145776,15.31,6.91,11.01,15.07,5.43,10.3,4.05,64.31,0.62,23.33,4.31,0.0,0.0,39.76,21.79,140.97,1015.75,42.7,17.26,125.8,10.82,5.4,0.45
58,E05000046,2022-05-01,15,Colindale,2.633351458032952,5.696163326107875,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
59,E05000046,2022-06-01,6,Colindale,2.633351458032952,2.2784653304431504,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
60,E05000046,2022-07-01,14,Colindale,2.633351458032952,5.316419104367351,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
61,E05000046,2022-08-01,9,Colindale,2.633351458032952,3.4176979956647253,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
62,E05000046,2022-09-01,10,Colindale,2.633351458032952,3.7974422174052505,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
63,E05000046,2022-10-01,9,Colindale,2.633351458032952,3.4176979956647253,18.12,11.0,14.39,18.12,10.88,14.36,10.92,80.8,2.2,74.19,15.59,0.0,0.0,35.14,20.96,205.8,1014.38,51.73,15.44,47.39,4.07,2.97,0.48
64,E05000046,2022-11-01,3,Colindale,2.633351458032952,1.1392326652215752,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
65,E05000046,2022-12-01,8,Colindale,2.633351458032952,3.0379537739242,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
66,E05000046,2023-01-01,10,Colindale,2.633351458032952,3.7974422174052505,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
67,E05000046,2023-02-01,9,Colindale,2.633351458032952,3.4176979956647253,10.21,3.88,6.85,9.28,2.03,5.29,3.41,79.56,0.17,39.29,4.17,0.0,0.01,29.99,18.92,190.52,1028.43,60.99,21.12,40.12,3.47,2.29,0.49
68,E05000046,2023-03-01,8,Colindale,2.633351458032952,3.0379537739242,11.09,5.96,8.39,10.27,3.85,6.95,4.56,77.71,2.87,80.65,29.44,0.05,0.05,38.26,24.47,184.55,1008.06,84.1,19.0,57.43,4.95,2.74,0.46
69,E05000046,2023-04-01,2,Colindale,2.633351458032952,0.75948844348105,14.21,6.65,10.14,14.21,4.91,9.21,4.73,70.88,2.05,56.67,15.97,0.0,0.0,32.87,20.79,175.1,1016.26,59.6,24.18,111.4,9.61,5.2,0.48
70,E05000046,2023-05-01,1,Colindale,2.633351458032952,0.379744221740525,17.93,10.13,13.92,17.93,9.62,13.84,7.82,68.35,0.76,32.26,7.12,0.0,0.0,30.94,19.68,127.97,1022.57,53.8,25.42,136.51,11.78,6.32,0.46
71,E05000057,2022-03-01,2,Mill Hill,9.375193351953188,0.2133289335929619,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
72,E05000057,2022-04-01,1,Mill Hill,9.375193351953188,0.1066644667964809,15.31,6.91,11.01,15.07,5.43,10.3,4.05,64.31,0.62,23.33,4.31,0.0,0.0,39.76,21.79,140.97,1015.75,42.7,17.26,125.8,10.82,5.4,0.45
73,E05000057,2022-06-01,1,Mill Hill,9.375193351953188,0.1066644667964809,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
74,E05000057,2022-08-01,2,Mill Hill,9.375193351953188,0.2133289335929619,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
75,E05000057,2022-10-01,3,Mill Hill,9.375193351953188,0.3199934003894429,18.12,11.0,14.39,18.12,10.88,14.36,10.92,80.8,2.2,74.19,15.59,0.0,0.0,35.14,20.96,205.8,1014.38,51.73,15.44,47.39,4.07,2.97,0.48
76,E05000057,2022-11-01,3,Mill Hill,9.375193351953188,0.3199934003894429,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
77,E05000057,2022-12-01,6,Mill Hill,9.375193351953188,0.6399868007788858,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
78,E05000057,2023-01-01,3,Mill Hill,9.375193351953188,0.3199934003894429,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
79,E05000057,2023-02-01,2,Mill Hill,9.375193351953188,0.2133289335929619,10.21,3.88,6.85,9.28,2.03,5.29,3.41,79.56,0.17,39.29,4.17,0.0,0.01,29.99,18.92,190.52,1028.43,60.99,21.12,40.12,3.47,2.29,0.49
80,E05000086,2022-04-01,2,Barnhill,2.9757086030391924,0.6721088207216701,15.31,6.91,11.01,15.07,5.43,10.3,4.05,64.31,0.62,23.33,4.31,0.0,0.0,39.76,21.79,140.97,1015.75,42.7,17.26,125.8,10.82,5.4,0.45
81,E05000086,2022-05-01,4,Barnhill,2.9757086030391924,1.3442176414433402,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
82,E05000086,2022-06-01,2,Barnhill,2.9757086030391924,0.6721088207216701,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
83,E05000086,2022-07-01,1,Barnhill,2.9757086030391924,0.336054410360835,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
84,E05000086,2022-09-01,2,Barnhill,2.9757086030391924,0.6721088207216701,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
85,E05000086,2022-12-01,1,Barnhill,2.9757086030391924,0.336054410360835,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
86,E05000086,2023-01-01,1,Barnhill,2.9757086030391924,0.336054410360835,8.98,3.33,6.31,7.81,1.0,4.48,3.28,81.42,1.87,54.84,16.8,0.02,0.17,36.27,23.48,219.62,1014.88,61.02,20.23,22.31,1.92,1.45,0.47
87,E05000086,2023-02-01,1,Barnhill,2.9757086030391924,0.336054410360835,10.21,3.88,6.85,9.28,2.03,5.29,3.41,79.56,0.17,39.29,4.17,0.0,0.01,29.99,18.92,190.52,1028.43,60.99,21.12,40.12,3.47,2.29,0.49
88,E05000086,2023-03-01,2,Barnhill,2.9757086030391924,0.6721088207216701,11.09,5.96,8.39,10.27,3.85,6.95,4.56,77.71,2.87,80.65,29.44,0.05,0.05,38.26,24.47,184.55,1008.06,84.1,19.0,57.43,4.95,2.74,0.46
89,E05000086,2023-05-01,1,Barnhill,2.9757086030391924,0.336054410360835,17.93,10.13,13.92,17.93,9.62,13.84,7.82,68.35,0.76,32.26,7.12,0.0,0.0,30.94,19.68,127.97,1022.57,53.8,25.42,136.51,11.78,6.32,0.46
90,E05000088,2022-05-01,1,Dollis Hill,2.296992726220894,0.4353518357218486,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
91,E05000088,2022-07-01,1,Dollis Hill,2.296992726220894,0.4353518357218486,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
92,E05000088,2022-09-01,1,Dollis Hill,2.296992726220894,0.4353518357218486,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
93,E05000088,2022-11-01,2,Dollis Hill,2.296992726220894,0.8707036714436973,12.96,8.09,10.58,12.83,6.83,9.92,8.11,85.07,3.62,70.0,26.11,0.0,0.0,38.63,23.27,201.47,1007.4,65.92,13.69,22.92,1.96,1.43,0.48
94,E05000088,2022-12-01,2,Dollis Hill,2.296992726220894,0.8707036714436973,7.98,3.17,5.55,6.98,1.14,3.99,3.25,85.38,1.44,74.19,18.82,0.0,0.45,33.06,18.76,181.35,1011.57,62.64,11.75,15.46,1.31,1.03,0.48
95,E05000088,2023-03-01,1,Dollis Hill,2.296992726220894,0.4353518357218486,11.09,5.96,8.39,10.27,3.85,6.95,4.56,77.71,2.87,80.65,29.44,0.05,0.05,38.26,24.47,184.55,1008.06,84.1,19.0,57.43,4.95,2.74,0.46
96,E05000099,2022-03-01,3,Queensbury,2.048994608682836,1.4641326957558485,13.2,5.97,9.34,12.67,3.95,8.08,4.2,72.47,1.1,51.61,11.16,0.0,0.0,38.85,19.91,114.5,1021.95,47.87,14.03,72.28,6.24,3.42,0.48
97,E05000099,2022-04-01,4,Queensbury,2.048994608682836,1.9521769276744647,15.31,6.91,11.01,15.07,5.43,10.3,4.05,64.31,0.62,23.33,4.31,0.0,0.0,39.76,21.79,140.97,1015.75,42.7,17.26,125.8,10.82,5.4,0.45
98,E05000099,2022-05-01,1,Queensbury,2.048994608682836,0.4880442319186162,19.1,10.69,14.78,19.1,10.44,14.74,8.69,69.07,1.22,51.61,9.54,0.0,0.0,39.32,20.36,203.75,1018.18,49.61,18.1,125.08,10.78,5.45,0.45
99,E05000099,2022-06-01,2,Queensbury,2.048994608682836,0.9760884638372324,22.21,12.58,17.4,22.12,12.55,17.37,9.99,64.37,0.77,56.67,7.08,0.0,0.0,39.05,21.49,175.65,1015.77,39.87,17.74,155.35,13.38,6.8,0.49
100,E05000099,2022-07-01,3,Queensbury,2.048994608682836,1.4641326957558485,26.24,16.23,21.24,25.87,16.23,21.12,11.35,55.88,0.01,19.35,1.48,0.0,0.0,35.91,19.45,222.57,1020.74,41.06,20.03,168.1,14.5,6.61,0.46
101,E05000099,2022-08-01,3,Queensbury,2.048994608682836,1.4641326957558485,26.32,16.53,21.16,26.01,16.53,21.07,12.61,61.45,2.41,24.14,3.95,0.0,0.0,31.3,17.96,174.62,1017.9,35.43,17.75,124.21,10.7,6.33,0.5
102,E05000099,2022-09-01,2,Queensbury,2.048994608682836,0.9760884638372324,19.91,12.65,16.0,19.91,12.34,15.93,10.87,73.13,1.7,50.0,13.75,0.0,0.0,29.87,17.7,219.79,1013.21,54.55,17.08,82.53,7.12,3.97,0.48
